propertyid,quarter,year,period_start,period_end,expected_rent_gbp,actual_rent_gbp,rent_collection_rate_percent,void_loss_gbp,service_charge_income_gbp,maintenance_cost_gbp,management_cost_gbp,net_income_gbp,estimated_property_value_gbp,quarterly_roi_percent,annualized_roi_percent,property_type,blockid,estateid
146,1,2024,2024-01-01,2024-05-30,2831,2600,91.9,0,170,360,271,2139,192014,1.11,4.46,House,13.0,8.0
166,1,2024,2024-01-01,2024-05-30,2101,1892,90.1,0,395,712,234,1342,150667,0.89,3.56,Flat,9.0,5.0
235,1,2024,2024-01-01,2024-05-30,2112,2034,96.3,0,348,220,237,1926,195619,0.98,3.94,Flat,20.0,
383,1,2024,2024-01-01,2024-05-30,2567,2391,93.1,0,412,425,254,2124,154571,1.37,5.5,Flat,18.0,
275,1,2024,2024-01-01,2024-05-30,2429,2382,98.1,216,380,383,221,1942,193410,1.0,4.02,Flat,21.0,
37,1,2024,2024-01-01,2024-05-30,2273,2174,95.7,0,502,603,203,1870,330989,0.56,2.26,Flat,10.0,5.0
197,1,2024,2024-01-01,2024-05-30,2703,2508,92.8,0,309,726,226,1865,222071,0.84,3.36,Flat,5.0,3.0
140,1,2024,2024-01-01,2024-05-30,2595,2556,98.5,0,458,265,309,2440,186123,1.31,5.24,Flat,1.0,1.0
60,1,2024,2024-01-01,2024-05-30,2653,2610,98.4,0,337,332,291,2324,204131,1.14,4.55,Flat,15.0,9.0
90,1,2024,2024-01-01,2024-05-30,2081,1966,94.5,0,0,312,190,1464,189107,0.77,3.1,Block of Flats,8.0,4.0
361,1,2024,2024-01-01,2024-05-30,2669,2424,90.8,0,397,418,265,2138,302669,0.71,2.83,Flat,21.0,
394,1,2024,2024-01-01,2024-05-30,2610,2461,94.3,0,452,335,296,2282,159284,1.43,5.73,Flat,21.0,
450,1,2024,2024-01-01,2024-05-30,2221,2045,92.1,247,337,372,263,1500,233059,0.64,2.57,Flat,,
104,1,2024,2024-01-01,2024-05-30,2487,2397,96.4,0,442,334,245,2260,279683,0.81,3.23,Flat,4.0,2.0
199,1,2024,2024-01-01,2024-05-30,2069,1930,93.3,0,548,763,209,1507,345285,0.44,1.75,Flat,1.0,1.0
417,1,2024,2024-01-01,2024-05-30,1918,1827,95.2,0,526,249,160,1944,316745,0.61,2.45,Flat,19.0,
393,1,2024,2024-01-01,2024-05-30,3183,3037,95.4,0,290,235,381,2710,192477,1.41,5.63,House,19.0,
148,1,2024,2024-01-01,2024-05-30,2960,2714,91.7,0,176,274,256,2361,332451,0.71,2.84,House,4.0,2.0
288,1,2024,2024-01-01,2024-05-30,2672,2456,91.9,0,158,369,229,2016,203836,0.99,3.96,House,22.0,
369,1,2024,2024-01-01,2024-05-30,2971,2945,99.1,330,281,386,284,2227,347142,0.64,2.57,House,22.0,
97,1,2024,2024-01-01,2024-05-30,2582,2350,91.0,0,365,397,253,2065,335403,0.62,2.46,Flat,5.0,3.0
240,1,2024,2024-01-01,2024-05-30,2736,2686,98.2,0,0,339,240,2107,303680,0.69,2.78,Block of Flats,21.0,
247,1,2024,2024-01-01,2024-05-30,2993,2883,96.3,0,134,387,292,2338,199613,1.17,4.69,House,20.0,
306,1,2024,2024-01-01,2024-05-30,2546,2400,94.3,0,320,686,239,1795,190150,0.94,3.78,Flat,18.0,
387,1,2024,2024-01-01,2024-05-30,2320,2287,98.6,0,444,439,249,2042,238352,0.86,3.43,Flat,22.0,
130,1,2024,2024-01-01,2024-05-30,2074,2025,97.6,0,484,643,194,1672,333398,0.5,2.01,Flat,16.0,9.0
445,1,2024,2024-01-01,2024-05-30,2899,2824,97.4,0,133,263,295,2399,339477,0.71,2.83,House,,
113,1,2024,2024-01-01,2024-05-30,2290,2246,98.1,1018,576,358,222,1224,328682,0.37,1.49,Flat,3.0,1.0
488,1,2024,2024-01-01,2024-05-30,2040,2001,98.1,0,300,464,216,1622,263235,0.62,2.46,Flat,,
234,1,2024,2024-01-01,2024-05-30,2421,2287,94.5,0,311,672,286,1640,210541,0.78,3.11,Flat,20.0,
165,1,2024,2024-01-01,2024-05-30,3308,3303,99.9,0,230,372,395,2766,169340,1.63,6.53,House,15.0,9.0
137,1,2024,2024-01-01,2024-05-30,2624,2531,96.4,0,364,264,234,2396,293675,0.82,3.26,Flat,4.0,2.0
259,1,2024,2024-01-01,2024-05-30,2443,2247,92.0,0,0,470,252,1525,210228,0.73,2.9,Block of Flats,19.0,
350,1,2024,2024-01-01,2024-05-30,2858,2808,98.3,0,0,304,328,2177,274057,0.79,3.18,Block of Flats,21.0,
108,1,2024,2024-01-01,2024-05-30,2480,2395,96.6,0,442,526,234,2076,208607,1.0,3.98,Flat,11.0,6.0
66,1,2024,2024-01-01,2024-05-30,3225,3023,93.7,0,215,482,384,2372,332595,0.71,2.85,House,14.0,9.0
86,1,2024,2024-01-01,2024-05-30,1957,1870,95.6,0,470,782,204,1354,291275,0.46,1.86,Flat,17.0,10.0
36,1,2024,2024-01-01,2024-05-30,1911,1867,97.7,0,548,228,213,1975,282411,0.7,2.8,Flat,13.0,8.0
29,1,2024,2024-01-01,2024-05-30,2722,2553,93.8,0,539,383,314,2395,335748,0.71,2.85,Flat,8.0,4.0
143,1,2024,2024-01-01,2024-05-30,2732,2716,99.4,0,122,768,233,1837,236370,0.78,3.11,House,12.0,7.0
399,1,2024,2024-01-01,2024-05-30,2415,2186,90.5,0,579,503,273,1989,282665,0.7,2.81,Flat,18.0,
343,1,2024,2024-01-01,2024-05-30,2941,2817,95.8,0,0,464,339,2014,201767,1.0,3.99,Block of Flats,19.0,
222,1,2024,2024-01-01,2024-05-30,2771,2631,94.9,0,225,696,284,1875,285176,0.66,2.63,House,4.0,2.0
379,1,2024,2024-01-01,2024-05-30,2331,2143,91.9,0,317,791,197,1472,317634,0.46,1.85,Flat,22.0,
283,1,2024,2024-01-01,2024-05-30,2002,1920,95.9,0,584,448,186,1870,210177,0.89,3.56,Flat,18.0,
227,1,2024,2024-01-01,2024-05-30,2290,2211,96.6,0,389,551,217,1832,300710,0.61,2.44,Flat,20.0,
430,1,2024,2024-01-01,2024-05-30,2062,2053,99.5,0,578,514,195,1922,345817,0.56,2.22,Flat,,
214,1,2024,2024-01-01,2024-05-30,2908,2664,91.6,0,150,598,290,1926,230539,0.84,3.34,House,17.0,10.0
216,1,2024,2024-01-01,2024-05-30,2465,2284,92.7,0,336,709,262,1650,167914,0.98,3.93,Flat,5.0,3.0
62,1,2024,2024-01-01,2024-05-30,2105,1963,93.2,0,547,415,198,1897,315742,0.6,2.4,Flat,17.0,10.0
48,1,2024,2024-01-01,2024-05-30,2575,2473,96.0,544,406,500,279,1556,209498,0.74,2.97,Flat,4.0,2.0
33,1,2024,2024-01-01,2024-05-30,2600,2417,93.0,0,0,552,267,1598,217419,0.74,2.94,Block of Flats,15.0,9.0
28,1,2024,2024-01-01,2024-05-30,2764,2602,94.2,0,491,342,319,2433,151392,1.61,6.43,Flat,12.0,7.0
261,1,2024,2024-01-01,2024-05-30,2501,2472,98.8,0,461,330,261,2342,192004,1.22,4.88,Flat,22.0,
136,1,2024,2024-01-01,2024-05-30,2184,2144,98.2,0,314,423,176,1859,331193,0.56,2.25,Flat,5.0,3.0
301,1,2024,2024-01-01,2024-05-30,2658,2610,98.2,0,0,642,266,1702,172435,0.99,3.95,Block of Flats,21.0,
157,1,2024,2024-01-01,2024-05-30,1950,1871,95.9,0,522,394,171,1828,207315,0.88,3.53,Flat,13.0,8.0
41,1,2024,2024-01-01,2024-05-30,2893,2636,91.1,0,0,771,250,1615,300337,0.54,2.15,Block of Flats,9.0,5.0
380,1,2024,2024-01-01,2024-05-30,2331,2153,92.3,1269,440,312,224,787,313710,0.25,1.0,Flat,20.0,
404,1,2024,2024-01-01,2024-05-30,2566,2467,96.1,912,418,368,264,1340,252990,0.53,2.12,Flat,18.0,
217,1,2024,2024-01-01,2024-05-30,2837,2711,95.6,0,131,798,283,1761,224067,0.79,3.14,House,5.0,3.0
431,1,2024,2024-01-01,2024-05-30,2600,2558,98.4,0,130,702,226,1760,189214,0.93,3.72,House,,
338,1,2024,2024-01-01,2024-05-30,2047,1846,90.2,0,514,670,227,1463,187931,0.78,3.11,Flat,19.0,
237,1,2024,2024-01-01,2024-05-30,3014,2814,93.3,0,241,453,305,2297,346960,0.66,2.65,House,22.0,
213,1,2024,2024-01-01,2024-05-30,2595,2573,99.2,0,0,444,273,1857,317034,0.59,2.34,Block of Flats,6.0,4.0
458,1,2024,2024-01-01,2024-05-30,2661,2415,90.8,0,206,634,316,1671,268182,0.62,2.49,House,,
487,1,2024,2024-01-01,2024-05-30,2729,2717,99.6,0,572,626,232,2431,289538,0.84,3.36,Flat,,
304,1,2024,2024-01-01,2024-05-30,2638,2552,96.7,0,0,462,235,1855,192540,0.96,3.85,Block of Flats,22.0,
162,1,2024,2024-01-01,2024-05-30,2326,2303,99.0,0,0,555,254,1494,286025,0.52,2.09,Block of Flats,14.0,9.0
218,1,2024,2024-01-01,2024-05-30,3065,2793,91.1,0,146,237,290,2412,223781,1.08,4.31,House,2.0,1.0
402,1,2024,2024-01-01,2024-05-30,2843,2705,95.2,0,257,268,259,2435,218432,1.11,4.46,House,22.0,
191,1,2024,2024-01-01,2024-05-30,2550,2436,95.5,0,600,259,240,2538,212608,1.19,4.77,Flat,12.0,7.0
340,1,2024,2024-01-01,2024-05-30,2586,2439,94.3,0,0,446,207,1786,232801,0.77,3.07,Block of Flats,18.0,
474,1,2024,2024-01-01,2024-05-30,3363,3186,94.7,0,267,405,329,2719,255126,1.07,4.26,House,,
346,1,2024,2024-01-01,2024-05-30,2810,2736,97.4,0,248,316,250,2418,211000,1.15,4.58,House,21.0,
167,1,2024,2024-01-01,2024-05-30,3384,3047,90.0,0,287,749,300,2285,245921,0.93,3.72,House,3.0,1.0
395,2,2024,2024-04-01,2024-08-30,2054,1949,94.9,0,317,460,171,1635,180016,0.91,3.63,Flat,21.0,
451,2,2024,2024-04-01,2024-08-30,2468,2391,96.9,0,331,613,289,1819,231991,0.78,3.14,Flat,,
85,2,2024,2024-04-01,2024-08-30,2781,2696,96.9,0,450,714,324,2108,291811,0.72,2.89,Flat,9.0,5.0
496,2,2024,2024-04-01,2024-08-30,3215,3076,95.7,0,111,553,311,2323,158569,1.47,5.86,House,,
409,2,2024,2024-04-01,2024-08-30,2785,2530,90.8,0,576,384,295,2427,192563,1.26,5.04,Flat,19.0,
491,2,2024,2024-04-01,2024-08-30,2668,2486,93.2,0,392,583,289,2006,192548,1.04,4.17,Flat,,
212,2,2024,2024-04-01,2024-08-30,2037,1930,94.8,0,446,461,219,1696,179786,0.94,3.77,Flat,12.0,7.0
174,2,2024,2024-04-01,2024-08-30,2462,2459,99.9,0,433,725,238,1929,330172,0.58,2.34,Flat,11.0,6.0
3,2,2024,2024-04-01,2024-08-30,2181,2032,93.2,0,552,521,197,1866,314314,0.59,2.37,Flat,10.0,5.0
410,2,2024,2024-04-01,2024-08-30,3449,3310,96.0,0,174,265,375,2844,193368,1.47,5.88,House,22.0,
71,2,2024,2024-04-01,2024-08-30,3309,3085,93.2,0,290,282,391,2702,181226,1.49,5.96,House,2.0,1.0
210,2,2024,2024-04-01,2024-08-30,3429,3408,99.4,0,249,650,372,2634,199782,1.32,5.27,House,10.0,5.0
64,2,2024,2024-04-01,2024-08-30,2205,2073,94.0,0,568,234,180,2227,222995,1.0,3.99,Flat,1.0,1.0
1,2,2024,2024-04-01,2024-08-30,2240,2232,99.7,0,462,406,234,2054,161884,1.27,5.08,Flat,1.0,1.0
416,2,2024,2024-04-01,2024-08-30,2869,2743,95.6,0,234,294,258,2426,328601,0.74,2.95,House,21.0,
23,2,2024,2024-04-01,2024-08-30,2406,2372,98.6,0,462,623,226,1985,257374,0.77,3.09,Flat,2.0,1.0
411,2,2024,2024-04-01,2024-08-30,1809,1658,91.6,0,409,679,160,1228,252597,0.49,1.94,Flat,19.0,
19,2,2024,2024-04-01,2024-08-30,2557,2475,96.8,0,458,607,231,2094,253760,0.83,3.3,Flat,7.0,4.0
79,2,2024,2024-04-01,2024-08-30,1989,1972,99.1,0,336,232,180,1895,195842,0.97,3.87,Flat,16.0,9.0
495,2,2024,2024-04-01,2024-08-30,1854,1682,90.7,0,446,556,171,1401,307843,0.46,1.82,Flat,,
47,2,2024,2024-04-01,2024-08-30,1805,1643,91.0,0,332,780,171,1025,253603,0.4,1.62,Flat,8.0,4.0
318,2,2024,2024-04-01,2024-08-30,2219,2059,92.8,0,370,322,246,1861,276548,0.67,2.69,Flat,19.0,
269,2,2024,2024-04-01,2024-08-30,2316,2206,95.3,0,580,315,252,2219,194191,1.14,4.57,Flat,19.0,
466,2,2024,2024-04-01,2024-08-30,3451,3181,92.2,0,250,711,342,2378,347508,0.68,2.74,House,,
83,2,2024,2024-04-01,2024-08-30,3087,3052,98.9,0,117,589,366,2214,295354,0.75,3.0,House,14.0,9.0
173,2,2024,2024-04-01,2024-08-30,2493,2261,90.7,0,397,634,223,1801,258240,0.7,2.79,Flat,4.0,2.0
91,2,2024,2024-04-01,2024-08-30,2571,2489,96.8,0,576,393,286,2386,153620,1.55,6.21,Flat,10.0,5.0
415,2,2024,2024-04-01,2024-08-30,1915,1744,91.1,0,305,426,160,1463,173153,0.84,3.38,Flat,20.0,
313,2,2024,2024-04-01,2024-08-30,2722,2672,98.2,0,538,576,300,2334,303709,0.77,3.07,Flat,21.0,
439,2,2024,2024-04-01,2024-08-30,2525,2432,96.3,0,163,297,235,2063,165584,1.25,4.98,House,,
250,2,2024,2024-04-01,2024-08-30,3125,2866,91.7,0,143,211,335,2463,171483,1.44,5.74,House,21.0,
333,2,2024,2024-04-01,2024-08-30,2673,2544,95.2,0,381,661,217,2047,211222,0.97,3.88,Flat,20.0,
302,2,2024,2024-04-01,2024-08-30,2113,2054,97.2,0,0,401,234,1419,228885,0.62,2.48,Block of Flats,19.0,
332,2,2024,2024-04-01,2024-08-30,1897,1886,99.4,0,318,745,211,1248,298766,0.42,1.67,Flat,22.0,
26,2,2024,2024-04-01,2024-08-30,2439,2379,97.6,0,378,580,273,1904,263822,0.72,2.89,Flat,5.0,3.0
465,2,2024,2024-04-01,2024-08-30,2859,2782,97.3,1684,0,241,327,530,271807,0.2,0.78,Block of Flats,,
118,2,2024,2024-04-01,2024-08-30,2032,1956,96.3,0,343,796,241,1263,164574,0.77,3.07,Flat,10.0,5.0
221,2,2024,2024-04-01,2024-08-30,1923,1880,97.8,0,406,381,225,1680,319868,0.53,2.1,Flat,7.0,4.0
321,2,2024,2024-04-01,2024-08-30,1842,1767,95.9,0,357,727,158,1239,179966,0.69,2.75,Flat,19.0,
418,2,2024,2024-04-01,2024-08-30,1948,1941,99.6,0,587,298,178,2051,285210,0.72,2.88,Flat,21.0,
127,2,2024,2024-04-01,2024-08-30,2778,2615,94.1,0,499,390,258,2465,170104,1.45,5.8,Flat,4.0,2.0
471,2,2024,2024-04-01,2024-08-30,3197,3003,93.9,0,200,443,265,2495,275232,0.91,3.63,House,,
209,2,2024,2024-04-01,2024-08-30,1964,1810,92.2,0,356,789,217,1160,261570,0.44,1.77,Flat,4.0,2.0
480,2,2024,2024-04-01,2024-08-30,2543,2300,90.5,0,230,697,280,1553,228932,0.68,2.71,House,,
95,2,2024,2024-04-01,2024-08-30,3099,2984,96.3,0,191,448,260,2467,157520,1.57,6.26,House,13.0,8.0
254,2,2024,2024-04-01,2024-08-30,2775,2748,99.0,0,405,611,266,2276,222307,1.02,4.1,Flat,19.0,
24,2,2024,2024-04-01,2024-08-30,2117,1931,91.2,0,587,444,213,1862,265513,0.7,2.8,Flat,17.0,10.0
223,2,2024,2024-04-01,2024-08-30,2599,2403,92.4,0,546,776,264,1908,290953,0.66,2.62,Flat,14.0,9.0
262,2,2024,2024-04-01,2024-08-30,1877,1709,91.1,0,524,766,213,1254,322531,0.39,1.55,Flat,21.0,
358,2,2024,2024-04-01,2024-08-30,1931,1812,93.8,0,556,373,207,1788,157683,1.13,4.54,Flat,21.0,
219,2,2024,2024-04-01,2024-08-30,2490,2341,94.0,0,450,757,278,1756,280558,0.63,2.5,Flat,17.0,10.0
406,2,2024,2024-04-01,2024-08-30,2643,2460,93.1,0,228,256,257,2175,349882,0.62,2.49,House,19.0,
109,2,2024,2024-04-01,2024-08-30,2270,2172,95.7,0,397,529,209,1831,303239,0.6,2.42,Flat,16.0,9.0
38,2,2024,2024-04-01,2024-08-30,2579,2414,93.6,0,464,315,309,2254,337133,0.67,2.67,Flat,17.0,10.0
158,2,2024,2024-04-01,2024-08-30,2667,2473,92.7,0,470,411,266,2266,165907,1.37,5.46,Flat,7.0,4.0
490,2,2024,2024-04-01,2024-08-30,2772,2765,99.7,0,542,668,323,2316,212809,1.09,4.35,Flat,,
182,2,2024,2024-04-01,2024-08-30,1986,1806,90.9,0,396,677,166,1359,229287,0.59,2.37,Flat,1.0,1.0
391,2,2024,2024-04-01,2024-08-30,2774,2653,95.6,0,276,402,260,2266,156702,1.45,5.78,House,21.0,
405,2,2024,2024-04-01,2024-08-30,2605,2466,94.6,1737,520,791,298,160,268320,0.06,0.24,Flat,19.0,
276,2,2024,2024-04-01,2024-08-30,2785,2534,91.0,0,230,633,309,1822,173993,1.05,4.19,House,19.0,
455,2,2024,2024-04-01,2024-08-30,3220,3151,97.9,0,287,408,270,2761,322577,0.86,3.42,House,,
142,2,2024,2024-04-01,2024-08-30,2834,2671,94.3,252,0,460,277,1683,277756,0.61,2.42,Block of Flats,14.0,9.0
366,2,2024,2024-04-01,2024-08-30,1998,1813,90.7,0,420,211,213,1810,170728,1.06,4.24,Flat,18.0,
68,2,2024,2024-04-01,2024-08-30,2980,2908,97.6,0,200,540,298,2270,288620,0.79,3.15,House,2.0,1.0
494,2,2024,2024-04-01,2024-08-30,2483,2270,91.4,0,563,781,247,1805,239169,0.75,3.02,Flat,,
401,2,2024,2024-04-01,2024-08-30,2626,2451,93.3,0,383,472,240,2122,222912,0.95,3.81,Flat,20.0,
273,2,2024,2024-04-01,2024-08-30,2704,2570,95.1,1472,0,418,247,433,268648,0.16,0.65,Block of Flats,19.0,
249,2,2024,2024-04-01,2024-08-30,3368,3202,95.1,0,211,206,350,2857,320683,0.89,3.56,House,18.0,
146,2,2024,2024-04-01,2024-08-30,3180,2940,92.4,0,144,263,301,2520,342803,0.74,2.94,House,13.0,8.0
153,2,2024,2024-04-01,2024-08-30,1970,1862,94.5,0,527,320,215,1854,199031,0.93,3.73,Flat,16.0,9.0
368,2,2024,2024-04-01,2024-08-30,2709,2576,95.1,0,401,305,258,2414,291029,0.83,3.32,Flat,20.0,
246,2,2024,2024-04-01,2024-08-30,2410,2381,98.8,321,526,723,229,1633,261001,0.63,2.5,Flat,19.0,
479,2,2024,2024-04-01,2024-08-30,2604,2385,91.6,260,417,452,280,1810,224275,0.81,3.23,Flat,,
300,2,2024,2024-04-01,2024-08-30,2540,2339,92.1,0,574,574,282,2057,199750,1.03,4.12,Flat,19.0,
400,2,2024,2024-04-01,2024-08-30,1858,1781,95.8,0,534,636,184,1495,298752,0.5,2.0,Flat,21.0,
383,2,2024,2024-04-01,2024-08-30,2578,2558,99.2,0,374,574,294,2064,160934,1.28,5.13,Flat,18.0,
140,2,2024,2024-04-01,2024-08-30,2418,2202,91.1,0,461,402,270,1991,274753,0.72,2.9,Flat,1.0,1.0
7,2,2024,2024-04-01,2024-08-30,2525,2470,97.8,0,405,788,289,1798,278596,0.65,2.58,Flat,2.0,1.0
339,2,2024,2024-04-01,2024-08-30,2308,2120,91.9,0,483,460,186,1957,323112,0.61,2.42,Flat,20.0,
470,2,2024,2024-04-01,2024-08-30,2669,2662,99.7,0,332,204,244,2546,252027,1.01,4.04,Flat,,
298,2,2024,2024-04-01,2024-08-30,2592,2370,91.4,922,209,659,215,783,234150,0.33,1.34,House,22.0,
369,2,2024,2024-04-01,2024-08-30,2537,2371,93.4,0,187,673,217,1668,248988,0.67,2.68,House,22.0,
144,2,2024,2024-04-01,2024-08-30,2113,2019,95.6,305,588,211,210,1881,260636,0.72,2.89,Flat,9.0,5.0
443,2,2024,2024-04-01,2024-08-30,2513,2486,98.9,0,402,531,212,2145,318168,0.67,2.7,Flat,,
98,2,2024,2024-04-01,2024-08-30,3223,3147,97.6,0,278,371,280,2774,293288,0.95,3.78,House,15.0,9.0
123,2,2024,2024-04-01,2024-08-30,2347,2140,91.2,0,463,384,270,1949,270596,0.72,2.88,Flat,15.0,9.0
299,2,2024,2024-04-01,2024-08-30,2444,2317,94.8,0,0,352,219,1747,243642,0.72,2.87,Block of Flats,21.0,
290,2,2024,2024-04-01,2024-08-30,2536,2403,94.7,0,537,722,235,1983,322478,0.61,2.46,Flat,18.0,
356,2,2024,2024-04-01,2024-08-30,2370,2207,93.1,0,570,589,266,1922,215761,0.89,3.56,Flat,20.0,
113,2,2024,2024-04-01,2024-08-30,2046,1928,94.2,0,536,790,184,1489,199401,0.75,2.99,Flat,3.0,1.0
137,2,2024,2024-04-01,2024-08-30,2274,2087,91.8,0,485,728,187,1657,199669,0.83,3.32,Flat,4.0,2.0
198,2,2024,2024-04-01,2024-08-30,2730,2591,94.9,0,0,312,285,1994,197741,1.01,4.03,Block of Flats,14.0,9.0
225,2,2024,2024-04-01,2024-08-30,2277,2121,93.2,0,432,236,190,2128,342044,0.62,2.49,Flat,15.0,9.0
286,2,2024,2024-04-01,2024-08-30,2637,2562,97.1,0,505,229,253,2584,256244,1.01,4.03,Flat,19.0,
108,2,2024,2024-04-01,2024-08-30,2148,2062,96.0,0,476,471,241,1826,242033,0.75,3.02,Flat,11.0,6.0
134,2,2024,2024-04-01,2024-08-30,2542,2415,95.0,0,313,527,284,1917,214593,0.89,3.57,Flat,9.0,5.0
45,2,2024,2024-04-01,2024-08-30,3147,3005,95.5,0,122,645,327,2155,274973,0.78,3.13,House,8.0,4.0
461,2,2024,2024-04-01,2024-08-30,3146,3004,95.5,0,105,669,366,2074,231593,0.9,3.58,House,,
187,2,2024,2024-04-01,2024-08-30,2159,1964,91.0,0,369,385,175,1773,199663,0.89,3.55,Flat,8.0,4.0
384,2,2024,2024-04-01,2024-08-30,2248,2036,90.6,0,344,555,258,1568,198987,0.79,3.15,Flat,21.0,
29,2,2024,2024-04-01,2024-08-30,2618,2482,94.8,0,491,656,239,2079,219611,0.95,3.79,Flat,8.0,4.0
343,2,2024,2024-04-01,2024-08-30,2552,2548,99.8,0,0,592,224,1732,263090,0.66,2.63,Block of Flats,19.0,
222,2,2024,2024-04-01,2024-08-30,3041,3012,99.0,0,254,573,318,2375,209641,1.13,4.53,House,4.0,2.0
241,2,2024,2024-04-01,2024-08-30,3364,3304,98.2,0,213,509,343,2664,176026,1.51,6.05,House,20.0,
179,2,2024,2024-04-01,2024-08-30,3193,3070,96.1,0,114,241,357,2586,204468,1.26,5.06,House,17.0,10.0
499,2,2024,2024-04-01,2024-08-30,2090,1883,90.1,1277,539,784,242,119,251147,0.05,0.19,Flat,,
449,2,2024,2024-04-01,2024-08-30,2989,2772,92.7,0,156,728,262,1939,302678,0.64,2.56,House,,
214,2,2024,2024-04-01,2024-08-30,3012,2789,92.6,1104,245,656,295,978,165062,0.59,2.37,House,17.0,10.0
99,2,2024,2024-04-01,2024-08-30,3324,3109,93.5,0,288,591,348,2458,302754,0.81,3.25,House,14.0,9.0
216,2,2024,2024-04-01,2024-08-30,2037,1983,97.3,0,363,255,201,1890,223888,0.84,3.38,Flat,5.0,3.0
33,2,2024,2024-04-01,2024-08-30,2176,2176,100.0,0,0,467,177,1532,172237,0.89,3.56,Block of Flats,15.0,9.0
447,2,2024,2024-04-01,2024-08-30,2109,1938,91.9,0,488,637,171,1618,204024,0.79,3.17,Flat,,
425,2,2024,2024-04-01,2024-08-30,2691,2609,96.9,0,381,507,302,2180,313463,0.7,2.78,Flat,18.0,
289,2,2024,2024-04-01,2024-08-30,2669,2661,99.7,0,232,650,226,2018,258985,0.78,3.12,House,22.0,
163,2,2024,2024-04-01,2024-08-30,2604,2590,99.5,0,514,669,224,2211,206049,1.07,4.29,Flat,4.0,2.0
464,2,2024,2024-04-01,2024-08-30,2670,2561,95.9,0,302,307,248,2308,215606,1.07,4.28,Flat,,
301,2,2024,2024-04-01,2024-08-30,2071,2016,97.4,598,0,343,223,852,235931,0.36,1.45,Block of Flats,21.0,
15,2,2024,2024-04-01,2024-08-30,2509,2273,90.6,1617,325,607,264,110,219425,0.05,0.2,Flat,13.0,8.0
157,2,2024,2024-04-01,2024-08-30,2647,2449,92.5,1735,427,297,283,561,239810,0.23,0.94,Flat,13.0,8.0
469,2,2024,2024-04-01,2024-08-30,2785,2703,97.1,0,498,683,294,2225,340364,0.65,2.61,Flat,,
435,2,2024,2024-04-01,2024-08-30,2796,2537,90.7,0,119,662,324,1669,303654,0.55,2.2,House,,
213,2,2024,2024-04-01,2024-08-30,2856,2852,99.9,730,0,210,239,1673,163437,1.02,4.1,Block of Flats,6.0,4.0
162,2,2024,2024-04-01,2024-08-30,2081,2014,96.8,0,0,511,186,1317,238675,0.55,2.21,Block of Flats,14.0,9.0
191,2,2024,2024-04-01,2024-08-30,1999,1891,94.6,0,305,386,187,1622,161687,1.0,4.01,Flat,12.0,7.0
483,2,2024,2024-04-01,2024-08-30,2623,2466,94.0,0,352,455,279,2084,190480,1.09,4.38,Flat,,
50,2,2024,2024-04-01,2024-08-30,2061,1900,92.2,0,434,791,223,1320,250152,0.53,2.11,Flat,4.0,2.0
92,2,2024,2024-04-01,2024-08-30,3243,3231,99.6,0,223,272,265,2917,216382,1.35,5.39,House,13.0,8.0
346,2,2024,2024-04-01,2024-08-30,3498,3338,95.4,0,232,318,398,2854,242547,1.18,4.71,House,21.0,
242,2,2024,2024-04-01,2024-08-30,2536,2298,90.6,0,379,376,210,2091,217839,0.96,3.84,Flat,21.0,
274,2,2024,2024-04-01,2024-08-30,2067,1874,90.7,0,340,477,173,1564,165684,0.94,3.78,Flat,20.0,
307,2,2024,2024-04-01,2024-08-30,2914,2887,99.1,0,179,559,254,2253,213711,1.05,4.22,House,18.0,
362,3,2024,2024-07-01,2024-11-30,2804,2793,99.6,0,202,722,225,2048,278012,0.74,2.95,House,21.0,
74,3,2024,2024-07-01,2024-11-30,1856,1773,95.5,0,596,681,204,1483,160033,0.93,3.71,Flat,5.0,3.0
375,3,2024,2024-07-01,2024-11-30,2504,2256,90.1,0,399,384,212,2059,274814,0.75,3.0,Flat,22.0,
378,3,2024,2024-07-01,2024-11-30,2213,2128,96.2,0,306,707,213,1514,345456,0.44,1.75,Flat,20.0,
85,3,2024,2024-07-01,2024-11-30,1854,1697,91.5,0,481,286,170,1722,256016,0.67,2.69,Flat,9.0,5.0
496,3,2024,2024-07-01,2024-11-30,2730,2688,98.5,0,208,663,289,1944,276811,0.7,2.81,House,,
31,3,2024,2024-07-01,2024-11-30,2483,2389,96.2,0,388,751,275,1751,284645,0.62,2.46,Flat,6.0,4.0
409,3,2024,2024-07-01,2024-11-30,2298,2266,98.6,0,529,237,194,2364,320987,0.74,2.95,Flat,19.0,
492,3,2024,2024-07-01,2024-11-30,2725,2676,98.2,0,181,304,227,2327,183238,1.27,5.08,House,,
441,3,2024,2024-07-01,2024-11-30,2050,1999,97.5,0,344,754,234,1355,238183,0.57,2.27,Flat,,
12,3,2024,2024-07-01,2024-11-30,2642,2436,92.2,0,377,350,287,2176,269636,0.81,3.23,Flat,17.0,10.0
73,3,2024,2024-07-01,2024-11-30,1805,1766,97.8,0,519,433,165,1687,311528,0.54,2.17,Flat,1.0,1.0
183,3,2024,2024-07-01,2024-11-30,2636,2383,90.4,1406,565,536,221,785,228015,0.34,1.38,Flat,12.0,7.0
