inspectionid,propertyid,lastinspectiondate,inspector,outcome,notes,inspection_type,buildingregistrationdate,property_age_years,patchid,patchname,days_since_last_inspection,compliance_outcome,follow_up_required,backlog_flag,compliance_severity
1012,242,2023-01-15,Inspector 7,Pass,Inspection notes for property 242,Water Hygiene,1951-01-01,74,7,West Patch 1,717,Advisory,True,False,Low
1013,242,2021-07-07,Inspector 2,Needs Attention,Inspection notes for property 242,Water Hygiene,1951-01-01,74,7,West Patch 1,1274,Pass,False,False,None
1014,242,2023-06-20,Inspector 5,Pass,Inspection notes for property 242,Fire Safety,1951-01-01,74,7,West Patch 1,561,Pass,False,False,None
1015,242,2021-11-11,Inspector 7,Pass,Inspection notes for property 242,Electrical,1951-01-01,74,7,West Patch 1,1147,Pass,False,False,None
1016,243,2021-01-20,Inspector 10,Pass,Inspection notes for property 243,Water Hygiene,1954-01-01,71,4,East Patch 2,1442,Pass,False,False,None
1017,243,2023-11-03,Inspector 5,Pass,Inspection notes for property 243,Fire Safety,1954-01-01,71,4,East Patch 2,425,Pass,False,False,None
1018,244,2022-05-31,Inspector 7,Pass,Inspection notes for property 244,Electrical,1978-01-01,47,1,North Patch 1,946,Pass,False,False,None
1019,244,2020-08-13,Inspector 2,Needs Attention,Inspection notes for property 244,Water Hygiene,1978-01-01,47,1,North Patch 1,1602,Pass,False,False,None
1020,244,2022-01-04,Inspector 5,Fail,Inspection notes for property 244,Fire Safety,1978-01-01,47,1,North Patch 1,1093,Pass,False,False,None
1021,244,2022-01-19,Inspector 6,Pass,Inspection notes for property 244,Electrical,1978-01-01,47,1,North Patch 1,1078,Pass,False,False,None
1022,244,2022-10-28,Inspector 5,Needs Attention,Inspection notes for property 244,Fire Safety,1978-01-01,47,1,North Patch 1,796,Fail,True,True,Low
1023,244,2022-07-15,Inspector 9,Pass,Inspection notes for property 244,Water Hygiene,1978-01-01,47,1,North Patch 1,901,Pass,False,False,None
1024,245,2020-03-29,Inspector 3,Needs Attention,Inspection notes for property 245,Water Hygiene,1996-01-01,29,7,West Patch 1,1739,Pass,False,False,None
1025,245,2023-11-19,Inspector 8,Fail,Inspection notes for property 245,Water Hygiene,1996-01-01,29,7,West Patch 1,409,Pass,False,False,None
1026,245,2021-11-26,Inspector 1,Needs Attention,Inspection notes for property 245,Gas Safety,1996-01-01,29,7,West Patch 1,1132,Fail,True,True,Low
1027,245,2023-01-13,Inspector 8,Pass,Inspection notes for property 245,General HHSRS,1996-01-01,29,7,West Patch 1,719,Pass,False,False,None
1028,245,2024-03-26,Inspector 5,Fail,Inspection notes for property 245,General HHSRS,1996-01-01,29,7,West Patch 1,281,Pass,False,False,None
1029,245,2023-04-17,Inspector 2,Needs Attention,Inspection notes for property 245,Gas Safety,1996-01-01,29,7,West Patch 1,625,Pass,False,False,None
1030,246,2023-01-08,Inspector 5,Needs Attention,Inspection notes for property 246,General HHSRS,1978-01-01,47,6,South Patch 2,724,Pass,False,False,None
1031,246,2023-08-22,Inspector 10,Pass,Inspection notes for property 246,Fire Safety,1978-01-01,47,6,South Patch 2,498,Pass,False,False,None
1032,246,2023-09-28,Inspector 2,Pass,Inspection notes for property 246,Electrical,1978-01-01,47,6,South Patch 2,461,Pass,False,False,None
1033,246,2024-03-12,Inspector 4,Fail,Inspection notes for property 246,Fire Safety,1978-01-01,47,6,South Patch 2,295,Pass,False,False,None
1034,246,2022-10-05,Inspector 9,Fail,Inspection notes for property 246,Fire Safety,1978-01-01,47,6,South Patch 2,819,Fail,True,True,Low
1035,247,2023-12-12,Inspector 3,Fail,Inspection notes for property 247,Fire Safety,1996-01-01,29,1,North Patch 1,386,Pass,False,False,None
1036,247,2024-11-30,Inspector 5,Fail,Inspection notes for property 247,Electrical,1996-01-01,29,1,North Patch 1,32,Pass,False,False,None
1037,248,2024-03-02,Inspector 1,Needs Attention,Inspection notes for property 248,Gas Safety,1978-01-01,47,1,North Patch 1,305,Advisory,True,False,Low
1038,248,2020-09-09,Inspector 1,Pass,Inspection notes for property 248,Electrical,1978-01-01,47,1,North Patch 1,1575,Pass,False,False,None
1039,248,2023-04-27,Inspector 10,Fail,Inspection notes for property 248,Fire Safety,1978-01-01,47,1,North Patch 1,615,Pass,False,False,None
1040,248,2022-10-18,Inspector 6,Needs Attention,Inspection notes for property 248,Gas Safety,1978-01-01,47,1,North Patch 1,806,Pass,False,False,None
1041,248,2024-07-28,Inspector 7,Needs Attention,Inspection notes for property 248,Gas Safety,1978-01-01,47,1,North Patch 1,157,Pass,False,False,None
1042,248,2023-03-10,Inspector 2,Needs Attention,Inspection notes for property 248,General HHSRS,1978-01-01,47,1,North Patch 1,663,Advisory,True,False,Low
1043,249,2024-05-26,Inspector 9,Needs Attention,Inspection notes for property 249,Gas Safety,1978-01-01,47,1,North Patch 1,220,Fail,True,False,Medium
1044,249,2020-09-24,Inspector 9,Fail,Inspection notes for property 249,Electrical,1978-01-01,47,1,North Patch 1,1560,Pass,False,False,None
1045,249,2024-07-28,Inspector 4,Needs Attention,Inspection notes for property 249,General HHSRS,1978-01-01,47,1,North Patch 1,157,Pass,False,False,None
1046,249,2020-09-28,Inspector 6,Fail,Inspection notes for property 249,Electrical,1978-01-01,47,1,North Patch 1,1556,Fail,True,False,Low
1047,249,2020-11-12,Inspector 7,Needs Attention,Inspection notes for property 249,Fire Safety,1978-01-01,47,1,North Patch 1,1511,Advisory,True,False,Low
1048,249,2023-03-10,Inspector 7,Pass,Inspection notes for property 249,Fire Safety,1978-01-01,47,1,North Patch 1,663,Advisory,True,False,Medium
1049,250,2024-05-02,Inspector 4,Fail,Inspection notes for property 250,General HHSRS,1951-01-01,74,3,East Patch 1,244,Pass,False,False,None
1050,250,2022-10-15,Inspector 5,Needs Attention,Inspection notes for property 250,Fire Safety,1951-01-01,74,3,East Patch 1,809,Pass,False,False,None
1051,251,2022-01-02,Inspector 6,Needs Attention,Inspection notes for property 251,General HHSRS,1978-01-01,47,6,South Patch 2,1095,Advisory,True,False,Medium
1052,251,2023-04-21,Inspector 9,Fail,Inspection notes for property 251,Gas Safety,1978-01-01,47,6,South Patch 2,621,Pass,False,False,None
1053,251,2021-01-04,Inspector 4,Fail,Inspection notes for property 251,Water Hygiene,1978-01-01,47,6,South Patch 2,1458,Pass,False,False,None
1054,251,2023-01-16,Inspector 8,Needs Attention,Inspection notes for property 251,General HHSRS,1978-01-01,47,6,South Patch 2,716,Pass,False,False,None
1055,251,2020-06-21,Inspector 5,Pass,Inspection notes for property 251,Water Hygiene,1978-01-01,47,6,South Patch 2,1655,Pass,False,False,None
1056,252,2024-11-18,Inspector 1,Needs Attention,Inspection notes for property 252,Gas Safety,1978-01-01,47,1,North Patch 1,44,Pass,False,False,None
1057,252,2023-09-26,Inspector 5,Needs Attention,Inspection notes for property 252,General HHSRS,1978-01-01,47,1,North Patch 1,463,Pass,False,False,None
1058,252,2023-06-05,Inspector 6,Needs Attention,Inspection notes for property 252,Gas Safety,1978-01-01,47,1,North Patch 1,576,Fail,True,False,High
1059,252,2022-01-29,Inspector 4,Fail,Inspection notes for property 252,Gas Safety,1978-01-01,47,1,North Patch 1,1068,Pass,False,False,None
1060,252,2025-12-01,Inspector 7,Fail,Inspection notes for property 252,Electrical,1978-01-01,47,1,North Patch 1,-334,Advisory,True,False,Low
1061,252,2024-07-28,Inspector 4,Fail,Inspection notes for property 252,General HHSRS,1978-01-01,47,1,North Patch 1,157,Pass,False,False,None
1062,253,2022-08-14,Inspector 6,Needs Attention,Inspection notes for property 253,Water Hygiene,1954-01-01,71,4,East Patch 2,871,Pass,False,False,None
1063,253,2020-08-26,Inspector 1,Fail,Inspection notes for property 253,General HHSRS,1954-01-01,71,4,East Patch 2,1589,Fail,True,True,Low
1064,253,2020-06-18,Inspector 8,Fail,Inspection notes for property 253,Gas Safety,1954-01-01,71,4,East Patch 2,1658,Pass,False,False,None
1065,254,2020-12-05,Inspector 6,Needs Attention,Inspection notes for property 254,Gas Safety,1978-01-01,47,5,South Patch 1,1488,Pass,False,False,None
1066,254,2020-02-29,Inspector 2,Pass,Inspection notes for property 254,Electrical,1978-01-01,47,5,South Patch 1,1768,Pass,False,False,None
1067,254,2023-08-13,Inspector 9,Pass,Inspection notes for property 254,Fire Safety,1978-01-01,47,5,South Patch 1,507,Pass,False,False,None
1068,254,2022-09-20,Inspector 10,Needs Attention,Inspection notes for property 254,Fire Safety,1978-01-01,47,5,South Patch 1,834,Advisory,True,False,Low
1069,254,2020-10-12,Inspector 6,Fail,Inspection notes for property 254,Gas Safety,1978-01-01,47,5,South Patch 1,1542,Fail,True,False,Low
1070,255,2020-10-21,Inspector 1,Needs Attention,Inspection notes for property 255,Fire Safety,1954-01-01,71,1,North Patch 1,1533,Pass,False,False,None
1071,255,2024-01-18,Inspector 8,Needs Attention,Inspection notes for property 255,Fire Safety,1954-01-01,71,1,North Patch 1,349,Pass,False,False,None
1072,256,2022-10-31,Inspector 4,Needs Attention,Inspection notes for property 256,Fire Safety,1954-01-01,71,3,East Patch 1,793,Pass,False,False,None
1073,256,2023-04-27,Inspector 10,Pass,Inspection notes for property 256,Fire Safety,1954-01-01,71,3,East Patch 1,615,Advisory,True,False,High
1074,257,2023-05-09,Inspector 9,Needs Attention,Inspection notes for property 257,Fire Safety,1996-01-01,29,7,West Patch 1,603,Pass,False,False,None
1075,257,2020-10-19,Inspector 3,Needs Attention,Inspection notes for property 257,Water Hygiene,1996-01-01,29,7,West Patch 1,1535,Pass,False,False,None
1076,257,2022-11-10,Inspector 6,Fail,Inspection notes for property 257,Gas Safety,1996-01-01,29,7,West Patch 1,783,Pass,False,False,None
1077,258,2023-08-14,Inspector 3,Needs Attention,Inspection notes for property 258,Gas Safety,1951-01-01,74,6,South Patch 2,506,Pass,False,False,None
1078,258,2020-10-06,Inspector 6,Fail,Inspection notes for property 258,Electrical,1951-01-01,74,6,South Patch 2,1548,Pass,False,False,None
1079,258,2024-09-08,Inspector 7,Fail,Inspection notes for property 258,Fire Safety,1951-01-01,74,6,South Patch 2,115,Advisory,True,False,Medium
1080,259,2020-01-03,Inspector 7,Needs Attention,Inspection notes for property 259,Water Hygiene,1978-01-01,47,8,West Patch 2,1825,Pass,False,False,None
1081,259,2024-12-17,Inspector 1,Needs Attention,Inspection notes for property 259,General HHSRS,1978-01-01,47,8,West Patch 2,15,Pass,False,False,None
1082,259,2021-08-24,Inspector 4,Pass,Inspection notes for property 259,Fire Safety,1978-01-01,47,8,West Patch 2,1226,Advisory,True,False,Medium
1083,259,2023-12-19,Inspector 5,Needs Attention,Inspection notes for property 259,Gas Safety,1978-01-01,47,8,West Patch 2,379,Advisory,True,False,Low
1084,259,2024-10-19,Inspector 7,Needs Attention,Inspection notes for property 259,General HHSRS,1978-01-01,47,8,West Patch 2,74,Pass,False,False,None
1085,260,2023-08-15,Inspector 3,Pass,Inspection notes for property 260,Water Hygiene,1954-01-01,71,3,East Patch 1,505,Pass,False,False,None
1086,260,2024-02-15,Inspector 10,Pass,Inspection notes for property 260,Gas Safety,1954-01-01,71,3,East Patch 1,321,Pass,False,False,None
1087,260,2021-01-18,Inspector 9,Fail,Inspection notes for property 260,Electrical,1954-01-01,71,3,East Patch 1,1444,Pass,False,False,None
1088,260,2020-09-06,Inspector 8,Pass,Inspection notes for property 260,Fire Safety,1954-01-01,71,3,East Patch 1,1578,Pass,False,False,None
1089,260,2021-01-28,Inspector 4,Pass,Inspection notes for property 260,Water Hygiene,1954-01-01,71,3,East Patch 1,1434,Pass,False,False,None
1090,260,2023-06-19,Inspector 8,Fail,Inspection notes for property 260,Fire Safety,1954-01-01,71,3,East Patch 1,562,Pass,False,False,None
1091,261,2020-11-04,Inspector 4,Needs Attention,Inspection notes for property 261,Water Hygiene,1954-01-01,71,1,North Patch 1,1519,Advisory,True,False,Low
1092,261,2020-06-16,Inspector 5,Needs Attention,Inspection notes for property 261,Electrical,1954-01-01,71,1,North Patch 1,1660,Pass,False,False,None
1093,261,2024-07-01,Inspector 7,Pass,Inspection notes for property 261,Electrical,1954-01-01,71,1,North Patch 1,184,Pass,False,False,None
1094,261,2020-08-20,Inspector 3,Pass,Inspection notes for property 261,Gas Safety,1954-01-01,71,1,North Patch 1,1595,Pass,False,False,None
1095,261,2023-11-08,Inspector 4,Needs Attention,Inspection notes for property 261,Fire Safety,1954-01-01,71,1,North Patch 1,420,Fail,True,True,Low
1096,262,2023-02-01,Inspector 10,Needs Attention,Inspection notes for property 262,Fire Safety,1951-01-01,74,6,South Patch 2,700,Advisory,True,False,High
1097,262,2022-05-07,Inspector 2,Pass,Inspection notes for property 262,Fire Safety,1951-01-01,74,6,South Patch 2,970,Advisory,True,False,High
1098,262,2024-01-05,Inspector 6,Needs Attention,Inspection notes for property 262,Fire Safety,1951-01-01,74,6,South Patch 2,362,Advisory,True,False,Medium
1099,263,2021-01-29,Inspector 7,Needs Attention,Inspection notes for property 263,General HHSRS,1978-01-01,47,5,South Patch 1,1433,Fail,True,True,Low
1100,263,2020-12-13,Inspector 10,Fail,Inspection notes for property 263,Gas Safety,1978-01-01,47,5,South Patch 1,1480,Pass,False,False,None
1101,263,2024-07-17,Inspector 9,Pass,Inspection notes for property 263,Fire Safety,1978-01-01,47,5,South Patch 1,168,Pass,False,False,None
1102,264,2023-06-10,Inspector 8,Fail,Inspection notes for property 264,Water Hygiene,1954-01-01,71,1,North Patch 1,571,Pass,False,False,None
1103,264,2021-04-26,Inspector 10,Needs Attention,Inspection notes for property 264,General HHSRS,1954-01-01,71,1,North Patch 1,1346,Advisory,True,False,Low
1104,264,2020-07-15,Inspector 1,Pass,Inspection notes for property 264,Water Hygiene,1954-01-01,71,1,North Patch 1,1631,Advisory,True,False,Low
1105,264,2022-01-04,Inspector 10,Fail,Inspection notes for property 264,Water Hygiene,1954-01-01,71,1,North Patch 1,1093,Pass,False,False,None
1106,265,2021-04-25,Inspector 6,Pass,Inspection notes for property 265,Fire Safety,1954-01-01,71,3,East Patch 1,1347,Pass,False,False,None
1107,265,2024-05-11,Inspector 10,Pass,Inspection notes for property 265,Gas Safety,1954-01-01,71,3,East Patch 1,235,Pass,False,False,None
1108,265,2024-02-16,Inspector 9,Fail,Inspection notes for property 265,General HHSRS,1954-01-01,71,3,East Patch 1,320,Fail,True,False,Low
1109,265,2022-06-15,Inspector 3,Pass,Inspection notes for property 265,Electrical,1954-01-01,71,3,East Patch 1,931,Pass,False,False,None
1110,265,2021-04-02,Inspector 9,Fail,Inspection notes for property 265,Fire Safety,1954-01-01,71,3,East Patch 1,1370,Pass,False,False,None
1111,266,2024-03-06,Inspector 6,Pass,Inspection notes for property 266,General HHSRS,1954-01-01,71,2,North Patch 2,301,Pass,False,False,None
1112,266,2022-12-04,Inspector 5,Needs Attention,Inspection notes for property 266,Fire Safety,1954-01-01,71,2,North Patch 2,759,Pass,False,False,None
1113,266,2022-01-09,Inspector 5,Fail,Inspection notes for property 266,Fire Safety,1954-01-01,71,2,North Patch 2,1088,Advisory,True,False,High
1114,266,2020-05-06,Inspector 5,Needs Attention,Inspection notes for property 266,Gas Safety,1954-01-01,71,2,North Patch 2,1701,Pass,False,False,None
1115,267,2024-02-26,Inspector 6,Needs Attention,Inspection notes for property 267,Electrical,1996-01-01,29,4,East Patch 2,310,Advisory,True,False,Medium
1116,267,2020-10-17,Inspector 3,Needs Attention,Inspection notes for property 267,Electrical,1996-01-01,29,4,East Patch 2,1537,Pass,False,False,None
1117,267,2021-05-07,Inspector 8,Pass,Inspection notes for property 267,Fire Safety,1996-01-01,29,4,East Patch 2,1335,Pass,False,False,None
1118,267,2024-03-30,Inspector 1,Pass,Inspection notes for property 267,General HHSRS,1996-01-01,29,4,East Patch 2,277,Pass,False,False,None
1119,267,2024-11-16,Inspector 8,Fail,Inspection notes for property 267,Fire Safety,1996-01-01,29,4,East Patch 2,46,Advisory,True,False,Medium
1120,268,2022-08-19,Inspector 2,Fail,Inspection notes for property 268,Fire Safety,1951-01-01,74,8,West Patch 2,866,Pass,False,False,None
1121,268,2022-08-08,Inspector 6,Needs Attention,Inspection notes for property 268,General HHSRS,1951-01-01,74,8,West Patch 2,877,Pass,False,False,None
1122,268,2022-11-05,Inspector 8,Fail,Inspection notes for property 268,Water Hygiene,1951-01-01,74,8,West Patch 2,788,Pass,False,False,None
1123,268,2020-02-05,Inspector 3,Pass,Inspection notes for property 268,General HHSRS,1951-01-01,74,8,West Patch 2,1792,Fail,True,True,High
1124,268,2024-07-21,Inspector 4,Fail,Inspection notes for property 268,General HHSRS,1951-01-01,74,8,West Patch 2,164,Pass,False,False,None
1125,269,2020-11-15,Inspector 9,Fail,Inspection notes for property 269,Electrical,1978-01-01,47,7,West Patch 1,1508,Advisory,True,False,Low
1126,269,2021-11-05,Inspector 10,Pass,Inspection notes for property 269,Electrical,1978-01-01,47,7,West Patch 1,1153,Pass,False,False,None
1127,269,2025-01-20,Inspector 9,Needs Attention,Inspection notes for property 269,Fire Safety,1978-01-01,47,7,West Patch 1,-19,Pass,False,False,None
1128,270,2024-08-24,Inspector 4,Fail,Inspection notes for property 270,Gas Safety,1954-01-01,71,3,East Patch 1,130,Pass,False,False,None
1129,270,2024-07-19,Inspector 6,Pass,Inspection notes for property 270,Gas Safety,1954-01-01,71,3,East Patch 1,166,Pass,False,False,None
1130,270,2021-04-04,Inspector 2,Fail,Inspection notes for property 270,Fire Safety,1954-01-01,71,3,East Patch 1,1368,Pass,False,False,None
1131,270,2021-07-10,Inspector 2,Fail,Inspection notes for property 270,Electrical,1954-01-01,71,3,East Patch 1,1271,Pass,False,False,None
1132,270,2024-11-30,Inspector 2,Fail,Inspection notes for property 270,Gas Safety,1954-01-01,71,3,East Patch 1,32,Pass,False,False,None
1133,271,2022-07-14,Inspector 5,Needs Attention,Inspection notes for property 271,Fire Safety,1951-01-01,74,6,South Patch 2,902,Fail,True,True,Medium
1134,271,2025-01-17,Inspector 6,Pass,Inspection notes for property 271,Fire Safety,1951-01-01,74,6,South Patch 2,-16,Pass,False,False,None
1135,271,2021-03-08,Inspector 8,Fail,Inspection notes for property 271,Electrical,1951-01-01,74,6,South Patch 2,1395,Advisory,True,False,Medium
1136,271,2020-12-17,Inspector 10,Pass,Inspection notes for property 271,Fire Safety,1951-01-01,74,6,South Patch 2,1476,Pass,False,False,None
1137,271,2020-03-28,Inspector 1,Needs Attention,Inspection notes for property 271,General HHSRS,1951-01-01,74,6,South Patch 2,1740,Pass,False,False,None
1138,272,2020-08-08,Inspector 1,Needs Attention,Inspection notes for property 272,Gas Safety,1978-01-01,47,8,West Patch 2,1607,Pass,False,False,None
1139,272,2022-04-01,Inspector 10,Fail,Inspection notes for property 272,Gas Safety,1978-01-01,47,8,West Patch 2,1006,Pass,False,False,None
1140,272,2022-04-11,Inspector 5,Pass,Inspection notes for property 272,Electrical,1978-01-01,47,8,West Patch 2,996,Pass,False,False,None
1141,272,2020-03-10,Inspector 7,Pass,Inspection notes for property 272,General HHSRS,1978-01-01,47,8,West Patch 2,1758,Pass,False,False,None
1142,273,2024-01-03,Inspector 7,Fail,Inspection notes for property 273,Gas Safety,1978-01-01,47,8,West Patch 2,364,Pass,False,False,None
1143,273,2021-06-13,Inspector 3,Pass,Inspection notes for property 273,Electrical,1978-01-01,47,8,West Patch 2,1298,Pass,False,False,None
1144,273,2022-04-29,Inspector 7,Needs Attention,Inspection notes for property 273,Electrical,1978-01-01,47,8,West Patch 2,978,Advisory,True,False,High
1145,274,2024-05-05,Inspector 6,Needs Attention,Inspection notes for property 274,Fire Safety,1996-01-01,29,8,West Patch 2,241,Advisory,True,False,Low
1146,274,2020-05-30,Inspector 6,Needs Attention,Inspection notes for property 274,General HHSRS,1996-01-01,29,8,West Patch 2,1677,Pass,False,False,None
1147,274,2022-02-05,Inspector 8,Fail,Inspection notes for property 274,General HHSRS,1996-01-01,29,8,West Patch 2,1061,Pass,False,False,None
1148,274,2023-07-29,Inspector 10,Needs Attention,Inspection notes for property 274,Electrical,1996-01-01,29,8,West Patch 2,522,Pass,False,False,None
1149,274,2024-07-28,Inspector 7,Fail,Inspection notes for property 274,General HHSRS,1996-01-01,29,8,West Patch 2,157,Pass,False,False,None
1150,274,2024-01-13,Inspector 7,Needs Attention,Inspection notes for property 274,General HHSRS,1996-01-01,29,8,West Patch 2,354,Pass,False,False,None
1151,275,2024-07-11,Inspector 9,Fail,Inspection notes for property 275,Electrical,1951-01-01,74,1,North Patch 1,174,Pass,False,False,None
1152,275,2021-04-14,Inspector 4,Needs Attention,Inspection notes for property 275,General HHSRS,1951-01-01,74,1,North Patch 1,1358,Pass,False,False,None
1153,276,2022-04-20,Inspector 9,Needs Attention,Inspection notes for property 276,Electrical,1978-01-01,47,4,East Patch 2,987,Pass,False,False,None
1154,276,2022-02-19,Inspector 2,Fail,Inspection notes for property 276,Electrical,1978-01-01,47,4,East Patch 2,1047,Pass,False,False,None
1155,276,2022-08-17,Inspector 2,Fail,Inspection notes for property 276,Electrical,1978-01-01,47,4,East Patch 2,868,Advisory,True,False,Medium
1156,277,2024-12-05,Inspector 5,Pass,Inspection notes for property 277,General HHSRS,1978-01-01,47,1,North Patch 1,27,Advisory,True,False,Low
1157,277,2022-06-09,Inspector 5,Needs Attention,Inspection notes for property 277,Fire Safety,1978-01-01,47,1,North Patch 1,937,Pass,False,False,None
1158,277,2021-12-27,Inspector 2,Pass,Inspection notes for property 277,General HHSRS,1978-01-01,47,1,North Patch 1,1101,Fail,True,True,Medium
1159,278,2022-03-20,Inspector 7,Fail,Inspection notes for property 278,General HHSRS,1996-01-01,29,6,South Patch 2,1018,Fail,True,True,High
1160,278,2022-06-22,Inspector 10,Fail,Inspection notes for property 278,Fire Safety,1996-01-01,29,6,South Patch 2,924,Pass,False,False,None
1161,279,2021-10-17,Inspector 2,Needs Attention,Inspection notes for property 279,General HHSRS,1978-01-01,47,1,North Patch 1,1172,Pass,False,False,None
1162,279,2024-09-06,Inspector 8,Pass,Inspection notes for property 279,Fire Safety,1978-01-01,47,1,North Patch 1,117,Pass,False,False,None
1163,279,2020-08-05,Inspector 7,Pass,Inspection notes for property 279,Gas Safety,1978-01-01,47,1,North Patch 1,1610,Fail,True,False,Low
1164,279,2022-09-29,Inspector 5,Fail,Inspection notes for property 279,Electrical,1978-01-01,47,1,North Patch 1,825,Advisory,True,False,High
1165,280,2020-10-30,Inspector 8,Needs Attention,Inspection notes for property 280,Fire Safety,1996-01-01,29,2,North Patch 2,1524,Pass,False,False,None
1166,280,2023-01-03,Inspector 3,Pass,Inspection notes for property 280,General HHSRS,1996-01-01,29,2,North Patch 2,729,Pass,False,False,None
1167,280,2024-08-21,Inspector 10,Fail,Inspection notes for property 280,General HHSRS,1996-01-01,29,2,North Patch 2,133,Pass,False,False,None
1168,280,2024-06-25,Inspector 7,Needs Attention,Inspection notes for property 280,Gas Safety,1996-01-01,29,2,North Patch 2,190,Pass,False,False,None
1169,280,2025-01-17,Inspector 7,Pass,Inspection notes for property 280,Fire Safety,1996-01-01,29,2,North Patch 2,-16,Pass,False,False,None
1170,281,2021-05-26,Inspector 8,Fail,Inspection notes for property 281,Fire Safety,1996-01-01,29,4,East Patch 2,1316,Advisory,True,False,Medium
1171,281,2022-10-22,Inspector 10,Needs Attention,Inspection notes for property 281,Electrical,1996-01-01,29,4,East Patch 2,802,Pass,False,False,None
1172,281,2023-05-19,Inspector 10,Needs Attention,Inspection notes for property 281,Water Hygiene,1996-01-01,29,4,East Patch 2,593,Advisory,True,False,High
1173,282,2020-07-26,Inspector 5,Pass,Inspection notes for property 282,Electrical,1954-01-01,71,4,East Patch 2,1620,Advisory,True,False,High
1174,282,2024-04-27,Inspector 1,Pass,Inspection notes for property 282,Fire Safety,1954-01-01,71,4,East Patch 2,249,Advisory,True,False,High
1175,282,2020-02-07,Inspector 1,Needs Attention,Inspection notes for property 282,Electrical,1954-01-01,71,4,East Patch 2,1790,Pass,False,False,None
1176,282,2020-05-04,Inspector 1,Pass,Inspection notes for property 282,Gas Safety,1954-01-01,71,4,East Patch 2,1703,Pass,False,False,None
1177,282,2021-10-06,Inspector 3,Needs Attention,Inspection notes for property 282,General HHSRS,1954-01-01,71,4,East Patch 2,1183,Pass,False,False,None
1178,283,2020-10-05,Inspector 9,Pass,Inspection notes for property 283,Fire Safety,1978-01-01,47,6,South Patch 2,1549,Pass,False,False,None
1179,283,2023-05-23,Inspector 8,Pass,Inspection notes for property 283,General HHSRS,1978-01-01,47,6,South Patch 2,589,Pass,False,False,None
1180,283,2022-09-17,Inspector 1,Pass,Inspection notes for property 283,Gas Safety,1978-01-01,47,6,South Patch 2,837,Pass,False,False,None
1181,283,2024-03-22,Inspector 8,Fail,Inspection notes for property 283,Water Hygiene,1978-01-01,47,6,South Patch 2,285,Pass,False,False,None
1182,283,2024-12-19,Inspector 8,Needs Attention,Inspection notes for property 283,Gas Safety,1978-01-01,47,6,South Patch 2,13,Pass,False,False,None
1183,284,2023-05-06,Inspector 10,Fail,Inspection notes for property 284,Electrical,1951-01-01,74,7,West Patch 1,606,Pass,False,False,None
1184,284,2023-03-17,Inspector 1,Pass,Inspection notes for property 284,Water Hygiene,1951-01-01,74,7,West Patch 1,656,Pass,False,False,None
1185,284,2020-04-29,Inspector 7,Fail,Inspection notes for property 284,Fire Safety,1951-01-01,74,7,West Patch 1,1708,Advisory,True,False,Medium
1186,285,2021-09-26,Inspector 9,Fail,Inspection notes for property 285,Water Hygiene,1978-01-01,47,2,North Patch 2,1193,Advisory,True,False,Low
1187,285,2022-06-05,Inspector 7,Fail,Inspection notes for property 285,Electrical,1978-01-01,47,2,North Patch 2,941,Pass,False,False,None
1188,285,2021-06-10,Inspector 10,Needs Attention,Inspection notes for property 285,Fire Safety,1978-01-01,47,2,North Patch 2,1301,Pass,False,False,None
1189,285,2023-12-10,Inspector 1,Needs Attention,Inspection notes for property 285,Gas Safety,1978-01-01,47,2,North Patch 2,388,Pass,False,False,None
1190,285,2022-09-17,Inspector 10,Fail,Inspection notes for property 285,Electrical,1978-01-01,47,2,North Patch 2,837,Pass,False,False,None
1191,285,2024-09-20,Inspector 5,Needs Attention,Inspection notes for property 285,Fire Safety,1978-01-01,47,2,North Patch 2,103,Pass,False,False,None
1192,286,2024-03-06,Inspector 8,Needs Attention,Inspection notes for property 286,Electrical,1978-01-01,47,3,East Patch 1,301,Advisory,True,False,High
1193,286,2023-02-18,Inspector 8,Needs Attention,Inspection notes for property 286,Gas Safety,1978-01-01,47,3,East Patch 1,683,Pass,False,False,None
1194,286,2024-12-17,Inspector 3,Fail,Inspection notes for property 286,Electrical,1978-01-01,47,3,East Patch 1,15,Pass,False,False,None
1195,286,2024-01-01,Inspector 8,Fail,Inspection notes for property 286,Fire Safety,1978-01-01,47,3,East Patch 1,366,Pass,False,False,None
1196,286,2023-11-10,Inspector 9,Pass,Inspection notes for property 286,General HHSRS,1978-01-01,47,3,East Patch 1,418,Pass,False,False,None
1197,287,2021-09-13,Inspector 8,Pass,Inspection notes for property 287,Water Hygiene,1978-01-01,47,1,North Patch 1,1206,Pass,False,False,None
1198,287,2021-09-01,Inspector 7,Fail,Inspection notes for property 287,Water Hygiene,1978-01-01,47,1,North Patch 1,1218,Pass,False,False,None
1199,287,2021-02-06,Inspector 6,Fail,Inspection notes for property 287,Electrical,1978-01-01,47,1,North Patch 1,1425,Pass,False,False,None
1200,287,2021-04-08,Inspector 4,Fail,Inspection notes for property 287,Fire Safety,1978-01-01,47,1,North Patch 1,1364,Pass,False,False,None
1201,288,2021-03-05,Inspector 8,Pass,Inspection notes for property 288,General HHSRS,1954-01-01,71,5,South Patch 1,1398,Pass,False,False,None
1202,288,2023-12-17,Inspector 3,Needs Attention,Inspection notes for property 288,Fire Safety,1954-01-01,71,5,South Patch 1,381,Pass,False,False,None
